episode,total_reward,steps,success,collision,out_of_lane,avg_lateral_deviation,min_lidar_min,run_name
1,-238.2038220315688,292,False,True,False,2.7404541788510106,0.24471493065357208,ppo_dense_fixed
2,-383.3951207554852,106,False,True,False,1.6394575988706594,1.3215078115463257,ppo_dense_fixed
3,104.14859879392264,252,False,False,True,3.615816460583969,1.754099726676941,ppo_dense_fixed
4,105.41547925994706,247,False,False,True,2.7343913501742865,0.4138301610946655,ppo_dense_fixed
5,106.1219457019049,175,False,False,True,1.8859777712483092,0.6434164643287659,ppo_dense_fixed
6,37.8866691509719,157,False,False,True,2.830799313125679,1.3946102857589722,ppo_dense_fixed
7,-20.087113648565676,162,False,False,True,2.235710474620662,0.5289838314056396,ppo_dense_fixed
8,163.1301848784579,276,False,False,True,2.46505129751005,0.4816635251045227,ppo_dense_fixed
9,-58.6953223558036,110,False,False,True,2.9952152354514925,0.31601834297180176,ppo_dense_fixed
10,-286.4479978256752,205,False,True,False,3.3373542888010865,0.0910753384232521,ppo_dense_fixed
11,42.79862169176866,159,False,False,True,3.223502374424769,2.3331458568573,ppo_dense_fixed
12,335.93912376459986,365,False,False,True,1.9556585323651934,0.4417716860771179,ppo_dense_fixed
13,-5.74235741568036,121,False,False,True,3.270080708518054,1.1032536029815674,ppo_dense_fixed
14,-378.1154548413811,109,False,True,False,1.4817158787143947,0.20110471546649933,ppo_dense_fixed
15,77.0061807260077,154,False,False,True,1.8464812759874365,0.7739241123199463,ppo_dense_fixed
16,-12.33416074720688,111,False,False,True,3.268720041877617,1.2855775356292725,ppo_dense_fixed
17,-121.26858294453302,417,False,True,False,4.356850668264195,0.10805342346429825,ppo_dense_fixed
18,184.39848082546933,224,False,False,True,2.7703087512172857,2.130913496017456,ppo_dense_fixed
19,85.89788033495859,155,False,False,True,2.731862313330819,3.0538525581359863,ppo_dense_fixed
20,44.25567179410001,178,False,False,True,2.339930641362999,0.424778550863266,ppo_dense_fixed
21,199.74830680711773,298,False,False,True,3.0353240370164163,0.8940790891647339,ppo_dense_fixed
22,-323.6627248927196,112,False,True,False,0.39893416601319437,0.20522907376289368,ppo_dense_fixed
23,-453.7143760539361,50,False,True,False,0.4919859268165729,0.14447680115699768,ppo_dense_fixed
24,7.088945271496044,147,False,False,True,2.8980675219109635,0.6647668480873108,ppo_dense_fixed
25,88.66951590040355,210,False,False,True,2.7430500924911234,1.0852935314178467,ppo_dense_fixed
26,-18.743845151190598,108,False,False,True,2.7372262040608004,0.6245719194412231,ppo_dense_fixed
27,205.7107689435303,275,False,False,True,3.058661970747926,1.2128236293792725,ppo_dense_fixed
28,36.377117191564196,158,False,False,True,3.127861928908725,2.617974281311035,ppo_dense_fixed
29,79.84980638130719,180,False,False,True,2.6821317808638545,2.201328754425049,ppo_dense_fixed
30,255.30167468048495,347,False,False,True,3.353226987992485,0.5974056124687195,ppo_dense_fixed
31,142.94921906215518,299,False,False,True,3.7193941551384273,1.4178171157836914,ppo_dense_fixed
32,70.35120958775607,154,False,False,True,2.632904097237664,1.037725567817688,ppo_dense_fixed
33,1.744007296250004,340,False,True,False,1.4518684920354457,0.24789978563785553,ppo_dense_fixed
34,-468.5522106064371,27,False,True,False,0.7121959472471807,0.2945235073566437,ppo_dense_fixed
35,-21.5602148419011,98,False,False,True,2.6457709791671076,0.6918987035751343,ppo_dense_fixed
36,176.4227587635337,196,False,False,True,1.7603180068114883,0.64033442735672,ppo_dense_fixed
37,1.850911313058674,131,False,False,True,2.8088108473085205,0.9091671109199524,ppo_dense_fixed
38,22.012236075708316,131,False,False,True,2.338719966815632,0.48641133308410645,ppo_dense_fixed
39,277.3338413835205,329,False,False,True,2.6328872101162872,1.4894448518753052,ppo_dense_fixed
40,11.155547365346337,159,False,False,True,4.08628715366896,2.0544707775115967,ppo_dense_fixed
41,-427.246609322951,74,False,True,False,1.0357999546965753,1.6122093200683594,ppo_dense_fixed
42,262.0438522635943,321,False,False,True,2.0138068114159626,0.7581090331077576,ppo_dense_fixed
43,-10.530721646865956,141,False,False,True,2.5487155105742243,0.35771802067756653,ppo_dense_fixed
44,201.84315705318681,365,False,False,True,4.254368056120473,2.2235631942749023,ppo_dense_fixed
45,256.31883538384386,374,False,False,True,2.997267071105195,0.5261138677597046,ppo_dense_fixed
46,425.6505153679452,518,False,False,True,3.2429035326424827,1.3435074090957642,ppo_dense_fixed
47,46.59727385464711,169,False,False,True,3.6403275668433683,2.209998369216919,ppo_dense_fixed
48,64.20247086734659,172,False,False,True,3.303011321750271,1.814207673072815,ppo_dense_fixed
49,72.50095333818132,185,False,False,True,2.807332514876362,1.6768840551376343,ppo_dense_fixed
50,-488.57012043849613,17,False,True,False,0.24946663043224546,0.09182882308959961,ppo_dense_fixed
51,272.7997013275347,505,False,False,True,4.192789988051623,0.6604322195053101,ppo_dense_fixed
52,-284.87439466827755,208,False,True,False,2.4859277942811397,0.22255170345306396,ppo_dense_fixed
53,-236.53107131450037,198,False,True,False,1.97295923777231,0.09602053463459015,ppo_dense_fixed
54,-3.4559849638228,445,False,True,False,2.2411383008314356,0.25545433163642883,ppo_dense_fixed
55,-41.34467522956582,111,False,False,True,3.2315251840956702,1.3908734321594238,ppo_dense_fixed
56,307.4627382385888,304,False,False,True,2.0420474868710063,3.3113174438476562,ppo_dense_fixed
57,338.9006809713459,397,False,False,True,3.4405899765720394,0.8850943446159363,ppo_dense_fixed
58,374.9049413346272,466,False,False,True,3.095208323229525,0.3094511926174164,ppo_dense_fixed
59,408.1244706108634,404,False,False,True,1.709932902982984,0.8507586121559143,ppo_dense_fixed
60,50.65493997693906,167,False,False,True,3.171966795893523,2.8382503986358643,ppo_dense_fixed
61,426.96006847002286,780,False,True,False,3.0150089785796363,0.2979883849620819,ppo_dense_fixed
62,-16.481284917916526,122,False,False,True,2.9850103349672272,0.5620450377464294,ppo_dense_fixed
63,131.8190278358028,229,False,False,True,2.095278836463488,0.5205084085464478,ppo_dense_fixed
64,252.40277417229788,277,False,False,True,1.7742456905932733,0.837016224861145,ppo_dense_fixed
65,450.15542674705046,405,False,False,True,1.625413330767883,2.835905075073242,ppo_dense_fixed
66,724.3387435612394,788,False,False,True,3.543809262434703,1.4648776054382324,ppo_dense_fixed
67,1420.2717315268173,1639,False,False,True,3.510904134860744,0.5712400674819946,ppo_dense_fixed
68,931.5598358588277,1112,False,True,False,2.3693787671209563,0.15915705263614655,ppo_dense_fixed
69,352.3225193123036,413,False,False,True,4.127914462926943,6.254373550415039,ppo_dense_fixed
70,-180.67893734746184,286,False,True,False,2.642180591078464,1.8953824043273926,ppo_dense_fixed
71,-262.3049871779298,201,False,True,False,2.6115894291414796,2.419156789779663,ppo_dense_fixed
72,537.6535401138298,695,False,False,True,3.656257978843004,0.8041079640388489,ppo_dense_fixed
73,2334.374967912755,1530,True,False,False,3.054289222956813,0.42132633924484253,ppo_dense_fixed
74,288.909510832778,671,False,True,False,2.131993964123645,0.22434531152248383,ppo_dense_fixed
75,1361.0298224896865,1794,False,True,False,2.7590739567908162,0.060850728303194046,ppo_dense_fixed
