episode,total_reward,steps,success,collision,out_of_lane,avg_lateral_deviation,min_lidar_min,run_name
1,203.11358570240003,274,False,False,True,2.257840713305389,0.46366068720817566,sac_dense_fixed
2,-256.66091376158204,178,False,True,False,0.6310181065470511,1.847244143486023,sac_dense_fixed
3,29.736225528544054,164,False,False,True,2.3858341441298645,0.3916309177875519,sac_dense_fixed
4,204.50134336832468,292,False,False,True,2.5672970469464076,0.43624868988990784,sac_dense_fixed
5,0.30312163571426254,128,False,False,True,3.301194518041375,0.6361858248710632,sac_dense_fixed
6,7.3010971922379895,151,False,False,True,2.8324199263390266,0.45202043652534485,sac_dense_fixed
7,-235.91840966166762,253,False,True,False,2.445913301573452,0.23990075290203094,sac_dense_fixed
8,71.63259896627116,155,False,False,True,3.032912316392491,0.4250224828720093,sac_dense_fixed
9,22.845721436325462,130,False,False,True,2.6398081983073682,0.9897669553756714,sac_dense_fixed
10,-59.80629988685395,109,False,False,True,3.7264906271623706,0.6611553430557251,sac_dense_fixed
11,-408.06076981909587,87,False,True,False,1.9409482271930563,0.2011951506137848,sac_dense_fixed
12,-232.3683078728829,176,False,True,False,0.8959810145648749,0.2536364495754242,sac_dense_fixed
13,95.74109326667082,161,False,False,True,2.1379661791433984,0.5767484307289124,sac_dense_fixed
14,-5.815295630835578,1337,False,False,True,6.74822257649797,2.6915283203125,sac_dense_fixed
15,60.94196883684549,124,False,False,True,2.1017948044725454,2.780815362930298,sac_dense_fixed
16,-322.20857034985124,177,False,True,False,2.598468527054951,0.0972137600183487,sac_dense_fixed
17,10.87094766286691,144,False,False,True,4.376598658506628,1.6041686534881592,sac_dense_fixed
18,-283.53413193066945,194,False,True,False,2.115186774780765,0.21807065606117249,sac_dense_fixed
19,52.37359402489517,128,False,False,True,2.294807447686795,0.9247483015060425,sac_dense_fixed
20,2.900055236233783,117,False,False,True,2.2749528920809845,0.4734390079975128,sac_dense_fixed
21,-303.6523938638321,171,False,True,False,1.886143118992156,0.12572836875915527,sac_dense_fixed
22,199.64006459765426,256,False,False,True,1.9173875959924231,1.0517007112503052,sac_dense_fixed
23,128.91504813070173,262,False,False,True,3.461274555024694,0.604036808013916,sac_dense_fixed
24,-43.79401517728556,97,False,False,True,2.948039381288437,0.6203111410140991,sac_dense_fixed
25,12.929711515674242,165,False,False,True,3.0222104566077466,0.44973576068878174,sac_dense_fixed
26,-221.57160985092582,222,False,True,False,2.323242951710507,0.1877088099718094,sac_dense_fixed
27,204.44572127652333,689,False,False,True,4.433664694754344,1.0664656162261963,sac_dense_fixed
28,51.36498144343648,111,False,False,True,1.669050487568252,3.7955238819122314,sac_dense_fixed
29,126.04363104074156,174,False,False,True,1.455574804568303,0.8026530742645264,sac_dense_fixed
30,4.876906834112702,234,False,False,True,3.2546368945409294,0.36426419019699097,sac_dense_fixed
31,92.17575136682453,202,False,False,True,3.2138665559207586,1.7151466608047485,sac_dense_fixed
32,-359.02542984385326,227,False,True,False,2.287371305966133,0.22436513006687164,sac_dense_fixed
33,-448.5196688438639,106,False,True,False,3.927310959954714,0.2536144554615021,sac_dense_fixed
34,-235.5483371742778,410,False,False,True,6.648787363308523,0.3510013520717621,sac_dense_fixed
35,-441.203780990932,143,False,True,False,2.871134273597373,0.1942676156759262,sac_dense_fixed
36,14.715040292839518,166,False,False,True,2.940569017314652,0.3584950566291809,sac_dense_fixed
37,34.18897120451905,176,False,False,True,2.9864144159706245,0.45544758439064026,sac_dense_fixed
38,40.42783804727907,185,False,False,True,2.801701524247957,0.6114261150360107,sac_dense_fixed
39,-442.83921057973583,62,False,True,False,2.044644605035905,0.24357128143310547,sac_dense_fixed
40,-418.88832208924634,84,False,True,False,1.7370660481048794,0.11895174533128738,sac_dense_fixed
41,49.30738376257736,136,False,False,True,2.1091445749326057,1.488346815109253,sac_dense_fixed
42,-96.83468638571054,363,False,True,False,3.4641899299514747,0.09939499199390411,sac_dense_fixed
43,-369.6889942348619,171,False,True,False,3.9994159967466434,0.2794567942619324,sac_dense_fixed
44,17.9511086740589,129,False,False,True,2.015019639655662,0.3877265155315399,sac_dense_fixed
45,-399.5564942541325,116,False,True,False,2.2412872597208295,0.2646070122718811,sac_dense_fixed
46,-436.9968866561857,79,False,True,False,2.711996297970287,0.29210808873176575,sac_dense_fixed
47,276.7599006546079,706,False,True,False,2.2427276747143714,0.9102238416671753,sac_dense_fixed
48,-29.84122625208539,111,False,False,True,2.891867747636705,0.4557548463344574,sac_dense_fixed
49,-14.813353956988465,134,False,False,True,2.623959727267628,0.3635610044002533,sac_dense_fixed
50,411.27235531005545,516,False,False,True,4.221970967473652,2.910585403442383,sac_dense_fixed
51,-119.52435123829531,336,False,True,False,3.671979813276013,0.1339251697063446,sac_dense_fixed
52,-467.8561341297129,26,False,True,False,1.0086112241551237,0.13317985832691193,sac_dense_fixed
53,21.339122726830595,141,False,False,True,2.4428947114629787,0.4799857437610626,sac_dense_fixed
54,-17.79096422225757,130,False,False,True,3.0153015108195973,0.3216365575790405,sac_dense_fixed
55,-399.9708072261803,109,False,True,False,1.731595261364455,0.2230222523212433,sac_dense_fixed
56,-20.866599232948587,125,False,False,True,2.520009571193974,0.4538455009460449,sac_dense_fixed
57,-16.074265331623693,144,False,False,True,4.209649989197432,2.2060513496398926,sac_dense_fixed
58,-4.780645824458588,139,False,False,True,2.543931859557493,0.4243749678134918,sac_dense_fixed
59,-376.0169139175934,125,False,True,False,2.0331296727799475,0.26544389128685,sac_dense_fixed
60,28.98227942852884,769,False,True,False,4.60589143743053,0.2693788707256317,sac_dense_fixed
61,-83.19288959667486,87,False,False,True,3.4641244957359483,0.4348958432674408,sac_dense_fixed
62,-88.69720884056304,96,False,False,True,3.3222886731413657,0.3175649046897888,sac_dense_fixed
63,-40.085959358481894,82,False,False,True,2.635404008070706,0.7381547093391418,sac_dense_fixed
64,381.20038334938255,435,False,False,True,3.3626093614162866,1.0545413494110107,sac_dense_fixed
65,-409.31499306778124,87,False,True,False,1.0602486614230977,0.053986117243766785,sac_dense_fixed
66,288.9600528666745,431,False,False,True,2.9319956703060717,0.5776781439781189,sac_dense_fixed
67,49.11942191266024,361,False,False,True,5.452209161456028,2.5470707416534424,sac_dense_fixed
68,60.85681293700026,190,False,False,True,2.738977755885123,0.4533110558986664,sac_dense_fixed
69,340.63968448455455,393,False,False,True,1.9476186532406956,2.0397629737854004,sac_dense_fixed
70,554.0133733673022,637,False,False,True,3.8749212924428984,1.6517517566680908,sac_dense_fixed
71,466.7425161294559,515,False,False,True,2.130983946034741,0.44853949546813965,sac_dense_fixed
72,-385.84037109616804,136,False,True,False,2.148995221824387,0.2394915521144867,sac_dense_fixed
73,-103.60288821406556,442,False,True,False,3.319697070599161,0.11276919394731522,sac_dense_fixed
74,-379.7945331452013,133,False,True,False,2.0357387293269062,1.0441508293151855,sac_dense_fixed
75,-36.38129441356958,154,False,False,True,2.567093540528261,1.4989885091781616,sac_dense_fixed
76,-217.61573366265674,217,False,True,False,1.467333234913234,0.5316300988197327,sac_dense_fixed
77,2.495874517385772,294,False,False,True,4.033094724651348,0.5356118083000183,sac_dense_fixed
78,-414.26143350074415,75,False,True,False,0.8958868589609349,0.2118031531572342,sac_dense_fixed
79,-40.74824857662918,428,False,True,False,2.2982570399248083,0.29901716113090515,sac_dense_fixed
80,-442.38365830578283,85,False,True,False,0.8841896548801578,0.1834792047739029,sac_dense_fixed
81,62.05482977480315,223,False,False,True,3.7548876851453628,2.0249006748199463,sac_dense_fixed
82,105.09669712520017,166,False,False,True,1.6017969953836446,0.9809430837631226,sac_dense_fixed
83,-353.1508656810404,138,False,True,False,1.4061593128389527,0.18915221095085144,sac_dense_fixed
84,-209.75779042495515,231,False,True,False,1.0410691915665649,0.2623593807220459,sac_dense_fixed
85,138.09209134310015,354,False,False,True,3.378775403811659,0.3453863859176636,sac_dense_fixed
86,292.72152558718255,289,False,False,True,2.095050424471391,4.923585414886475,sac_dense_fixed
87,-49.04032150697259,381,False,True,False,1.840844944513408,0.27107876539230347,sac_dense_fixed
88,118.30624927531275,199,False,False,True,1.6936192492903313,0.5255492329597473,sac_dense_fixed
